time,year,month,reserve,dry_kg,wet_kg,total_kg
6/30/20,2020,6,Río Guadalmedina,0,0,0
7/31/20,2020,7,Sierra Plana de la Borbolla,1240.327843,-1.98E-11,1240.327843
7/31/20,2020,7,Rias occidentales y Duna de Oyambre,2513.52087,-2.90E-11,2513.52087
7/31/20,2020,7,Dunas de Liencres y Estuario del Pas,2127.912393,-3.24E-12,2127.912393
7/31/20,2020,7,Balsa del Pulguer,3.993735011,-3.26E-14,3.993735011
7/31/20,2020,7,Montes del Cerrato,29914.26018,-2.40E-10,29914.26018
7/31/20,2020,7,Basses de l'Albera,1599.81944,-3.39E-12,1599.81944
7/31/20,2020,7,Les Gavarres,111368.6207,-1.79E-10,111368.6207
7/31/20,2020,7,Prat de Cabanes i Torreblanca,4263.582445,-4.00E-11,4263.582445
7/31/20,2020,7,Urkiola,32583.36983,-1.05E-10,32583.36983
7/31/20,2020,7,Alto Navia,-53.72991403,6.91E-13,-53.72991403
7/31/20,2020,7,Badina Escudera,257.2361124,-2.10E-12,257.2361124
7/31/20,2020,7,LA GUARGUERA,2213.358974,-8.85E-12,2213.358974
7/31/20,2020,7,TURBERAS DE ACUMUER,0,0,0
7/31/20,2020,7,TURBERAS DEL MACIZO DE LOS INFIERNOS,0,0,0
7/31/20,2020,7,Plans de Sió,23130.04414,-1.08E-10,23130.04414
7/31/20,2020,7,Serra d'en Galceràn,7654.624114,-9.05E-11,7654.624114
7/31/20,2020,7,Ullals del riu Verd,0,0,0
7/31/20,2020,7,Río Guadalmedina,0,0,0
8/31/20,2020,8,Sierra Plana de la Borbolla,1219.925583,-1.09E-11,1219.925583
8/31/20,2020,8,Rias occidentales y Duna de Oyambre,2490.081335,-2.41E-11,2490.081335
